epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6042,1.18436,1.5228,1.22475,0.66277,0.53024,0.60843,0.45575,1.08473,1.12604,1.12527,8.33e-06,8.33e-06,8.33e-06
2,67.798,1.2081,1.37593,1.24254,0.66633,0.54421,0.62778,0.46711,1.08142,1.09143,1.1245,1.76733e-05,1.76733e-05,1.76733e-05
3,97.739,1.24902,1.37782,1.26154,0.66187,0.57599,0.63973,0.47739,1.07557,1.07258,1.12087,2.68281e-05,2.68281e-05,2.68281e-05
4,131.342,1.14365,1.27513,1.23568,0.69796,0.57918,0.6556,0.49247,1.06491,1.04948,1.11285,3.57944e-05,3.57944e-05,3.57944e-05
5,160.429,1.15203,1.22625,1.21525,0.70001,0.60993,0.67627,0.50949,1.04679,1.01511,1.10252,4.45722e-05,4.45722e-05,4.45722e-05
6,191.556,1.07345,1.17262,1.17669,0.71332,0.62382,0.68773,0.52068,1.03627,0.98633,1.0926,5.31615e-05,5.31615e-05,5.31615e-05
7,221.945,1.17585,1.24233,1.21159,0.70708,0.64782,0.70222,0.53322,1.03425,0.96462,1.0884,6.15623e-05,6.15623e-05,6.15623e-05
8,252.089,1.09491,1.19308,1.17844,0.7389,0.63874,0.71658,0.54344,1.03131,0.94374,1.08618,6.97746e-05,6.97746e-05,6.97746e-05
9,288.302,1.06165,1.14509,1.18057,0.79254,0.63197,0.73867,0.56239,1.01611,0.91423,1.07917,7.77984e-05,7.77984e-05,7.77984e-05
10,326.406,1.11136,1.08005,1.15824,0.83207,0.61943,0.74541,0.5675,1.00808,0.89369,1.07541,8.56337e-05,8.56337e-05,8.56337e-05
11,363.707,1.03045,1.05232,1.13511,0.7356,0.69252,0.7565,0.58071,1.00052,0.86651,1.07142,9.32805e-05,9.32805e-05,9.32805e-05
12,400.621,1.13479,1.11852,1.16193,0.74062,0.71007,0.76292,0.58648,0.99469,0.84484,1.06757,0.000100739,0.000100739,0.000100739
13,436.906,1.06849,1.10261,1.17719,0.76963,0.71455,0.77035,0.5997,0.9851,0.82471,1.06139,0.000104863,0.000104863,0.000104863
14,469.947,1.08002,1.05437,1.16268,0.78428,0.70389,0.77414,0.59832,0.97443,0.80436,1.0564,0.000103685,0.000103685,0.000103685
15,503.013,1.05881,1.03705,1.16727,0.80889,0.70113,0.78215,0.60777,0.96465,0.78913,1.05257,0.000102507,0.000102507,0.000102507
16,540.695,0.99268,0.96566,1.11144,0.81546,0.69789,0.78529,0.61235,0.95117,0.77406,1.04709,0.000101329,0.000101329,0.000101329
17,578.781,0.99646,0.95908,1.12063,0.82856,0.70084,0.80215,0.61836,0.94243,0.7592,1.04368,0.00010015,0.00010015,0.00010015
